512829.08496, 3,  -0.532,  2.418,  8.987
512829.10405, 3,   0.000,  2.600,  9.715, 4,  -0.511, -0.216,  0.081, 5,  -1.100,  8.100,-46.800
512829.12409, 3,   0.421,  2.015, 10.127
512829.14472, 3,   0.005,  2.015,  9.849
512829.16394, 3,   0.306,  2.298,  9.217, 4,   0.092, -0.290, -0.121, 5,  -1.100,  8.100,-46.800
512829.18395, 3,   0.656,  2.178,  8.710
512829.20587, 3,   0.642,  2.149,  8.748
512829.22377, 3,   0.407,  2.365,  9.169, 4,  -0.139, -0.244, -0.179, 5,  -1.100,  8.100,-46.800
512829.24356, 3,   0.551,  2.264,  9.729
512829.26460, 3,   0.608,  1.939,  8.992
512829.28379, 3,   0.718,  1.943,  8.891, 4,   0.083, -0.160,  0.011, 5,  -1.100,  8.500,-46.800
512829.30353, 3,   0.551,  2.288,  8.954
512829.32476, 3,   0.158,  2.260,  9.117
512829.34331, 3,   0.330,  2.432,  8.796, 4,  -0.240,  0.185,  0.289, 5,  -1.100,  8.500,-46.800
512829.36331, 3,   0.373,  2.221,  8.609
512829.38465, 3,  -0.010,  2.212,  8.561
512829.40315, 3,  -0.067,  2.327,  8.106, 4,  -0.087,  0.541,  0.191, 5,  -1.100,  9.000,-46.800
512829.42317, 3,  -0.187,  2.820,  8.188
512829.44446, 3,  -0.235,  2.810,  8.700
512829.46299, 3,  -0.115,  3.002,  9.083, 4,  -0.052, -0.074,  0.169, 5,  -0.700,  8.100,-46.800
512829.48294, 3,  -0.694,  2.781,  8.748
512829.50373, 3,  -0.508,  2.652,  9.878
512829.52271, 3,   0.235,  3.121,  9.940, 4,  -0.340,  0.178,  0.112, 5,  -0.700,  8.100,-46.800
512829.54265, 3,   0.244,  2.872,  8.714
512829.56367, 3,   0.153,  2.643,  7.948
512829.58292, 3,   0.259,  2.844,  7.872, 4,  -0.173, -0.221,  0.005, 5,  -0.700,  8.100,-46.800
512829.60262, 3,   0.101,  2.949,  8.920
512829.62372, 3,   0.187,  2.614,  9.476
512829.64259, 3,   0.010,  2.561,  9.528, 4,  -0.236,  0.158, -0.111, 5,  -0.700,  8.600,-46.800
512829.66277, 3,  -0.460,  2.432,  9.169
512829.68359, 3,  -0.474,  2.643,  9.543
512829.70240, 3,  -0.431,  2.518,  9.825, 4,  -0.156,  0.324, -0.023, 5,  -0.700,  8.600,-46.800
512829.72245, 3,  -0.249,  2.576,  9.777
512829.74362, 3,  -0.249,  2.456,  9.926
512829.76266, 3,  -0.503,  2.341, 10.203, 4,   0.009,  0.078,  0.002, 5,  -0.300,  9.000,-46.800
512829.78240, 3,  -0.532,  2.082, 10.716
512829.80328, 3,  -0.086,  2.015, 10.639
512829.82227, 3,  -0.043,  2.374, 10.357, 4,   0.075, -0.054,  0.028, 5,  -0.300,  9.000,-46.800
512829.84218, 3,  -0.211,  2.092, 10.247
512829.86307, 3,  -0.498,  1.666, 10.486
512829.88211, 3,   0.038,  0.900, 11.176, 4,   0.006, -0.103, -0.195, 5,  -0.300,  9.000,-46.800
512829.90205, 3,   0.043,  0.785, 11.439
512829.92307, 3,   0.024,  0.593, 11.199
512829.94193, 3,   0.283,  0.751, 10.381, 4,  -0.003,  0.099, -0.166, 5,  -0.300,  9.500,-46.400
512829.96189, 3,   0.254,  0.991,  9.049
512829.98287, 3,   0.215,  0.823,  8.302
512830.00196, 3,   0.096,  0.861,  8.408, 4,   0.239, -0.038, -0.173, 5,  -0.300,  9.500,-46.400
512830.02190, 3,   0.287,  1.273,  8.714
512830.04282, 3,   0.259,  1.369,  8.202
512830.06183, 3,   0.546,  1.273,  8.053, 4,   0.284, -0.055, -0.068, 5,  -0.300,  9.500,-46.400
512830.08196, 3,   0.335,  1.201,  8.700
512830.10272, 3,   0.105,  1.225,  9.002
