TIME, X, Y, Z
685349.14740, 0.259, -0.163, 7.053
685349.16715, 0.168, 0.234, 6.852
685349.18668, 0.163, 0.450, 6.296
685349.20708, 0.139, 0.359, 5.956
685349.22670, 0.148, 0.555, 6.220
685349.24675, 0.244, 0.493, 6.200
685349.26717, 0.273, 0.531, 6.574
685349.28803, 0.407, 0.684, 7.206
685349.30704, 0.306, 0.694, 7.872
685349.32670, 0.057, 0.507, 8.197
685349.34652, 0.010, 0.483, 8.839
685349.36693, -0.105, 0.550, 9.921
685349.38648, 0.096, 1.015, 10.055
685349.40619, -0.101, 1.000, 10.194
685349.42615, -0.110, 0.919, 10.409
685349.44615, -0.436, 0.948, 11.611
685349.46593, -0.297, 0.737, 12.828
685349.48581, -0.139, 0.703, 12.526
685349.50628, 0.153, 0.842, 11.956
685349.52581, 0.072, 1.024, 11.621
685349.54579, -0.043, 0.622, 11.559
685349.56609, -0.302, -0.025, 12.320
685349.58590, -0.273, -0.288, 13.081
685349.60598, -0.211, -0.302, 11.755
685349.62593, -0.498, 0.086, 9.969
685349.64594, -0.795, -0.120, 9.107
685349.66555, -0.785, -0.245, 9.658
685349.68570, -0.632, -0.125, 9.619
685349.70589, -0.608, -0.077, 8.743
685349.72559, -0.594, -0.053, 8.001
685349.74608, -0.546, 0.038, 7.642
685349.76551, -0.239, 0.402, 7.627
685349.78582, -0.383, 0.392, 7.804
685349.80591, -0.239, 0.584, 7.101
685349.82535, -0.168, 0.751, 6.224
685349.84571, -0.350, 0.833, 5.860
685349.86577, -0.397, 0.809, 6.325
685349.88637, -0.450, 0.962, 7.311
685349.90576, -0.421, 1.072, 8.106
685349.92524, -0.225, 1.077, 7.838
685349.94521, -0.460, 1.129, 7.292
685349.96534, -0.622, 1.321, 7.479
685349.98691, -0.393, 1.149, 8.695
685350.00512, -0.402, 1.024, 10.036
685350.02499, -0.283, 1.235, 10.203
685350.04498, -0.249, 1.388, 10.625
685350.06480, -0.235, 1.268, 11.008
685350.08471, -0.220, 1.302, 10.553
685350.10471, -0.383, 1.345, 11.008
685350.12447, -0.536, 1.311, 11.544
685350.14447, -0.373, 1.316, 11.161
685350.16462, -0.172, 1.364, 10.735
685350.18459, -0.081, 1.374, 10.395
685350.20448, -0.134, 1.158, 10.486
685350.22671, -0.388, 0.689, 11.013
685350.24448, -0.273, -0.154, 12.641
685350.26440, -0.110, -0.690, 12.976
685350.28481, 0.053, -0.183, 11.324
685350.30430, -0.101, 0.502, 9.648
685350.32675, -0.268, 0.593, 9.222
685350.34438, -0.335, 0.258, 9.342
