ID, X, Y, Z
512801.56300, -0.584, 0.512, 8.135
512801.58293, -0.929, 0.325, 8.695
512801.60419, -1.063, -0.269, 9.811
512801.62308, -0.910, -0.278, 9.806
512801.64444, -0.795, -0.173, 9.308
512801.66486, -0.484, 0.253, 8.413
512801.68262, -0.532, 0.483, 7.752
512801.70268, -0.321, 0.722, 7.627
512801.72374, -0.321, 0.641, 7.364
512801.74284, -0.441, 0.699, 7.536
512801.76370, -0.321, 0.880, 7.220
512801.78355, -0.417, 1.029, 8.001
512801.80246, -0.239, 1.158, 8.575
512801.82267, -0.589, 0.794, 8.887
512801.84365, -0.637, 0.483, 9.433
512801.86350, -0.570, 0.631, 9.787
512801.88220, -0.565, 1.101, 9.337
512801.90356, -0.680, 1.192, 8.671
512801.92221, -0.493, 1.388, 8.585
512801.94217, -0.565, 1.383, 9.174
512801.96321, -0.713, 1.302, 9.806
512801.98186, -0.503, 1.244, 10.543
512802.00215, -0.239, 1.287, 10.879
512802.02283, -0.091, 1.460, 11.041
512802.04175, 0.086, 2.039, 10.232
512802.06175, 0.057, 1.987, 9.662
512802.08280, 0.029, 1.278, 10.678
512802.10201, 0.057, -0.144, 12.468
512802.12189, 0.330, -0.882, 13.905
512802.14296, 0.642, -0.432, 12.828
512802.16259, 0.081, 0.315, 9.796
512802.18154, -0.302, 0.593, 7.646
512802.20259, -0.407, 0.780, 6.890
512802.22152, -0.177, 0.775, 7.479
512802.24181, 0.120, 0.627, 8.480
512802.26374, 0.378, 0.450, 8.810
512802.28133, 0.249, 0.512, 8.906
512802.30153, -0.215, 0.272, 8.949
512802.32267, -0.057, 0.502, 8.542
512802.34151, 0.086, 0.785, 7.790
512802.36242, -0.110, 0.751, 7.546
512802.38211, -0.014, 0.866, 7.771
512802.40122, -0.091, 0.813, 7.872
512802.42113, -0.038, 0.981, 7.766
512802.44248, 0.158, 1.216, 7.848
512802.46214, 0.153, 1.240, 8.590
512802.48094, 0.038, 1.029, 9.346
512802.50192, 0.062, 1.019, 10.223
512802.52089, 0.187, 1.010, 10.419
512802.54109, 0.397, 1.206, 9.993
512802.56191, 0.091, 1.244, 9.753
512802.58053, 0.158, 1.082, 10.567
512802.60052, 0.014, 0.818, 11.444
512802.62178, -0.120, 0.631, 11.439
512802.64073, -0.067, 0.560, 10.036
512802.66045, -0.321, 1.110, 9.102
512802.68145, -0.464, 1.302, 9.476
512802.70045, -0.948, 0.229, 10.922
512802.72028, -0.814, -0.977, 13.033
512802.74153, -0.354, -1.236, 13.201
512802.76047, -0.364, -0.235, 9.710
512802.78026, -0.733, 0.038, 7.972
512802.80141, -0.958, 0.373, 7.479
512802.82025, -0.958, 0.282, 8.556
512802.84024, -0.848, -0.020, 9.456
512802.86149, -0.915, -0.082, 9.538
512802.88291, -0.594, 0.220, 9.270
512802.90000, -0.608, 0.196, 8.647
512802.92103, -0.570, 0.445, 8.192
512802.94000, -0.321, 0.885, 8.192
512802.95989, -0.211, 0.852, 8.006
512802.98274, -0.254, 1.058, 7.857
512803.00021, -0.225, 1.072, 7.972
512803.01984, -0.570, 0.976, 8.279
512803.04097, -0.215, 1.149, 8.891
512803.05970, -0.388, 1.254, 8.978
512803.07997, -0.704, 1.106, 8.911
512803.10096, -0.680, 0.967, 8.973
512803.11958, -0.498, 1.106, 9.102
512803.13956, -0.666, 1.173, 9.562
512803.16084, -0.512, 1.220, 9.514
512803.17947, -0.508, 1.422, 9.519
512803.19967, -0.709, 1.345, 9.816
512803.22047, -0.685, 0.866, 10.682
512803.23917, -0.034, 0.631, 11.434
512803.25904, 0.115, 0.799, 11.468
512803.28030, 0.512, 1.742, 9.557
512803.29920, 0.508, 2.015, 8.312
512803.31892, 0.153, 1.388, 8.820
512803.34011, 0.431, 0.057, 11.305
512803.35904, 0.594, -1.049, 13.421
512803.37926, 0.776, -0.977, 13.618
512803.40065, 0.546, -0.034, 10.898
512803.41886, 0.000, 0.507, 8.829
512803.43929, -0.148, 0.732, 8.274
512803.46005, -0.053, 0.593, 8.408
512803.47916, 0.163, 0.459, 9.083
512803.49910, 0.048, 0.287, 9.303
512803.51981, 0.230, 0.603, 8.868
512803.53904, 0.029, 0.727, 8.226
512803.55879, 0.086, 0.684, 7.646
512803.57968, 0.168, 0.794, 7.704
512803.59887, 0.153, 0.919, 7.857
512803.61847, -0.014, 0.833, 7.479
512803.63956, -0.081, 1.077, 7.804
512803.65840, 0.053, 1.192, 7.967
512803.68002, -0.010, 1.153, 8.360
512803.69999, 0.038, 0.981, 9.088
512803.71917, 0.115, 1.000, 9.208
512803.73835, 0.187, 1.307, 9.083
512803.75929, 0.110, 1.589, 9.059
512803.77818, 0.182, 1.752, 9.241
512803.79877, -0.057, 1.565, 9.753
512803.81907, 0.005, 1.359, 10.960
512803.83804, -0.048, 1.340, 11.357
512803.85806, 0.029, 1.197, 11.602
512803.87913, 0.326, 1.651, 10.476
512803.89775, 0.168, 1.900, 9.792
512803.91779, -0.158, 0.928, 10.792
512803.93911, -0.508, -0.609, 12.871
512803.95771, -0.182, -1.351, 13.938
512803.97760, 0.517, -0.336, 11.908
512803.99883, -0.120, 0.066, 9.002
512804.01751, -0.230, 0.517, 7.474
512804.03784, -0.589, 0.608, 7.359
512804.05887, -0.915, 0.354, 8.614
512804.07768, -0.517, 0.148, 9.466
512804.09752, -0.359, 0.162, 9.456
512804.11853, -0.072, 0.229, 8.844
512804.13740, -0.115, 0.397, 8.465
512804.15779, -0.330, 0.684, 8.379
512804.18006, -0.297, 0.914, 8.101
512804.19764, -0.215, 0.938, 7.623
